class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.common.ssl.CertManagerTest	class	10	10	0	10	4	1	0	15	0	0.125	1	1	4	0	0	0	0	4	4	0
org.apache.dubbo.common.utils.ClassUtilsTest	class	11	12	1	11	32	1	0	27	55	0	0	0	11	0	0	0	0	11	11	0
org.apache.dubbo.metadata.tools.TestServiceImpl	class	3	12	8	4	2	3	0	0	1	0	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.rpc.protocol.tri.observer.ServerCallToObserverAdapter	class	8	14	6	8	23	2	0	14	53	0.81746024	0.29411766	0.6691176	18	0	17	1	0	0	17	0
org.apache.dubbo.metadata.annotation.processing.util.ServiceAnnotationUtilsTest	class	7	7	0	7	8	2	0	15	28	0	0	0	8	0	0	0	2	6	8	0
org.apache.dubbo.config.spring.reference.localcall.LocalCallTest	class	9	9	0	9	3	1	0	4	1	0.33333334	0	0	3	2	2	0	0	1	3	0
org.apache.dubbo.rpc.cluster.support.MergeableClusterInvoker	class	14	17	3	14	33	2	0	63	15	0.8333333	0	0	6	0	4	1	1	0	5	0
org.apache.dubbo.rpc.cluster.router.mesh.rule.destination.Subset	class	0	4	4	0	5	1	0	0	0	0.4	0.6	1	5	0	5	0	0	0	5	0
org.apache.dubbo.qos.command.exception.NoSuchCommandException	class	1	3	2	1	1	4	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.common.extension.director.impl.TestAppProvider	class	2	2	0	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.common.utils.TimeUtilsTest	class	1	1	0	1	2	1	0	2	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.rpc.protocol.ProtocolListenerWrapperTest	class	9	9	0	9	2	1	0	13	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.common.threadpool.support.eager.EagerThreadPoolExecutorTest	class	11	11	0	11	27	1	0	32	0	0	1	1	5	0	0	0	0	5	5	0
org.apache.dubbo.common.utils.LogHelper	class	1	1	0	1	46	1	0	20	120	0	0	0	16	15	15	1	0	0	15	0
org.apache.dubbo.spring.boot.observability.autoconfigure.exporter.zipkin.HttpSender	class	9	10	1	9	10	2	0	10	26	0.8125	0.035714287	0.035714287	8	0	7	0	1	0	8	1
org.apache.dubbo.metadata.report.support.AbstractMetadataReportFactory	class	5	12	7	5	14	1	4	18	4	0.6	0.16666667	0.16666667	4	0	2	0	2	0	4	1
org.apache.dubbo.config.spring.status.DataSourceStatusChecker	class	8	10	2	8	10	1	0	21	0	0.44444445	0.6666667	1	3	0	3	0	0	0	3	0
org.apache.dubbo.rpc.cluster.filter.LogFilter	class	6	6	0	6	3	1	0	1	3	0	0	0	3	0	3	0	0	0	3	0
org.apache.dubbo.config.utils.SimpleReferenceCache	class	8	10	2	8	40	1	0	35	64	0.84000003	0.36842105	1	20	4	18	1	1	0	19	0
org.apache.dubbo.config.spring.context.annotation.provider.ProviderConfiguration	class	11	17	5	12	4	1	0	3	6	0	0	0	4	0	4	0	0	0	4	0
demo.Empty	class	0	1	1	0	0	1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
org.apache.dubbo.common.threadpool.support.limited.LimitedThreadPool	class	5	5	0	5	3	1	0	3	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.rpc.cluster.loadbalance.RandomLoadBalanceTest	class	5	5	0	5	10	2	0	16	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.reactive.ClientTripleReactorSubscriber	class	3	4	1	3	2	2	0	3	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.common.system.OperatingSystemBeanManager	class	4	6	2	4	11	1	0	11	3	0.77777773	0.5	0.5	6	5	3	3	0	0	4	0
